1,1,386,235,127,290,0.96,1,0,0
1,2,746,246,130,264,0.95,1,0,0
1,3,648,271,121,236,0.94,1,0,0
1,4,542,266,121,258,0.94,1,0,0
1,5,927,215,244,505,0.93,1,0,0
1,6,168,221,181,476,0.93,1,0,0
1,7,311,334,93,239,0.91,1,0,0
1,8,579,206,111,255,0.90,1,0,0
1,9,129,199,140,319,0.90,1,0,0
1,10,541,170,42,113,0.88,1,0,0
1,11,248,210,118,321,0.86,1,0,0
1,12,576,152,39,128,0.81,1,0,0
1,13,601,160,47,123,0.79,1,0,0
1,14,695,160,58,164,0.75,1,0,0
1,15,298,174,55,157,0.67,1,0,0
2,1,389,236,127,289,0.95,1,0,0
2,2,746,246,130,264,0.95,1,0,0
2,3,648,272,120,234,0.94,1,0,0
2,4,543,265,121,259,0.94,1,0,0
2,5,927,215,245,505,0.93,1,0,0
2,6,166,223,180,473,0.92,1,0,0
2,7,314,334,93,239,0.90,1,0,0
2,8,580,207,110,254,0.90,1,0,0
2,9,133,199,140,319,0.89,1,0,0
2,10,541,170,42,113,0.88,1,0,0
2,11,249,211,117,320,0.86,1,0,0
2,12,576,152,39,129,0.81,1,0,0
2,13,601,160,45,120,0.78,1,0,0
2,14,695,161,57,162,0.80,1,0,0
2,15,300,174,54,156,0.66,1,0,0
3,1,392,236,127,288,0.95,1,0,0
3,2,746,246,130,265,0.95,1,0,0
3,3,647,272,120,234,0.93,1,0,0
3,4,543,266,121,258,0.94,1,0,0
3,5,927,216,245,504,0.93,1,0,0
3,6,165,224,179,473,0.90,1,0,0
3,7,317,334,93,239,0.91,1,0,0
3,8,579,208,110,252,0.89,1,0,0
3,9,135,199,141,322,0.89,1,0,0
3,10,541,170,42,113,0.88,1,0,0
3,11,251,212,119,327,0.86,1,0,0
3,12,576,152,39,130,0.81,1,0,0
3,13,600,161,45,118,0.79,1,0,0
3,14,694,162,57,160,0.82,1,0,0
3,15,300,174,55,157,0.56,1,0,0
3,16,1178,243,102,477,0.61,1,0,0
4,1,397,236,126,288,0.95,1,0,0
4,2,746,246,130,265,0.95,1,0,0
4,3,644,272,120,235,0.93,1,0,0
4,4,544,265,121,259,0.94,1,0,0
4,5,929,216,243,504,0.93,1,0,0
4,6,155,225,179,471,0.92,1,0,0
4,7,321,334,92,237,0.91,1,0,0
4,8,579,208,110,252,0.89,1,0,0
4,9,139,198,141,323,0.89,1,0,0
4,10,541,170,42,113,0.88,1,0,0
4,11,254,211,119,324,0.88,1,0,0
4,12,576,152,39,129,0.81,1,0,0
4,13,600,161,45,117,0.79,1,0,0
4,14,694,163,56,160,0.83,1,0,0
4,15,301,174,54,158,0.62,1,0,0
4,16,1175,248,105,472,0.60,1,0,0
5,1,401,235,125,287,0.95,1,0,0
5,2,746,246,131,265,0.95,1,0,0
5,3,645,272,121,235,0.93,1,0,0
5,4,544,266,121,258,0.94,1,0,0
5,5,931,216,240,504,0.93,1,0,0
5,6,155,227,179,470,0.90,1,0,0
5,7,323,334,92,236,0.91,1,0,0
5,8,580,208,110,252,0.89,1,0,0
5,9,144,197,140,320,0.85,1,0,0
5,10,542,170,41,113,0.87,1,0,0
5,11,259,211,116,319,0.88,1,0,0
5,12,577,152,39,130,0.81,1,0,0
5,13,602,161,45,120,0.79,1,0,0
5,14,692,163,57,159,0.82,1,0,0
5,15,301,174,55,158,0.62,1,0,0
5,16,1174,249,106,471,0.60,1,0,0
6,1,404,235,125,285,0.95,1,0,0
6,2,747,246,130,265,0.95,1,0,0
6,3,646,272,121,235,0.93,1,0,0
6,4,545,266,121,258,0.94,1,0,0
6,5,933,218,238,502,0.94,1,0,0
6,6,157,230,179,467,0.92,1,0,0
6,7,326,334,92,236,0.92,1,0,0
6,8,581,208,109,252,0.90,1,0,0
6,9,146,196,145,333,0.82,1,0,0
6,10,542,170,41,113,0.87,1,0,0
6,11,263,213,114,314,0.89,1,0,0
6,12,577,152,39,129,0.82,1,0,0
6,13,603,161,46,122,0.83,1,0,0
6,14,690,161,56,156,0.75,1,0,0
6,15,301,174,55,158,0.59,1,0,0
6,16,1168,253,112,467,0.66,1,0,0
7,1,408,233,124,286,0.96,1,0,0
7,2,747,245,131,266,0.95,1,0,0
7,3,647,272,121,235,0.94,1,0,0
7,4,546,266,120,257,0.94,1,0,0
7,5,934,218,237,502,0.94,1,0,0
7,6,161,231,176,458,0.92,1,0,0
7,7,328,334,91,234,0.92,1,0,0
7,8,582,208,109,252,0.90,1,0,0
7,9,153,195,142,330,0.82,1,0,0
7,10,541,170,42,113,0.87,1,0,0
7,11,267,217,111,309,0.88,1,0,0
7,12,578,151,38,130,0.82,1,0,0
7,13,602,161,47,121,0.83,1,0,0
7,14,689,160,55,155,0.77,1,0,0
7,15,298,174,59,169,0.62,1,0,0
7,16,1174,254,106,466,0.58,1,0,0
7,17,739,157,56,162,0.65,1,0,0
8,1,411,231,124,285,0.95,1,0,0
8,2,747,245,131,265,0.94,1,0,0
8,3,650,272,119,235,0.94,1,0,0
8,4,546,266,121,257,0.94,1,0,0
8,5,935,217,235,503,0.94,1,0,0
8,6,164,230,175,453,0.93,1,0,0
8,7,331,333,90,234,0.92,1,0,0
8,8,583,208,108,251,0.90,1,0,0
8,9,160,194,139,327,0.80,1,0,0
8,10,542,170,41,113,0.87,1,0,0
8,11,269,216,111,309,0.88,1,0,0
8,12,578,151,39,131,0.83,1,0,0
8,13,602,161,47,121,0.82,1,0,0
8,14,688,158,57,161,0.81,1,0,0
8,15,298,174,60,171,0.67,1,0,0
8,16,1178,247,102,473,0.58,1,0,0
